Date,Number of tested case,Total number of confirmed case,Number of new tested case from previous day,Number of new confirmed case from previous day,Percentage of total confirm cased by total tested case,Percentage of total tested case by estimated population (Vientiane Capital 2020 - 948K),Percentage of total tested case by 100K population
1-Mar-20,45,0,,,0.0%,0.00%,0.05%
2-Mar-20,46,0,1,0,0.0%,0.00%,0.05%
3-Mar-20,47,0,1,0,0.0%,0.00%,0.05%
4-Mar-20,53,0,6,0,0.0%,0.01%,0.05%
5-Mar-20,53,0,0,0,0.0%,0.01%,0.05%
6-Mar-20,53,0,0,0,0.0%,0.01%,0.05%
7-Mar-20,56,0,3,0,0.0%,0.01%,0.06%
8-Mar-20,58,0,2,0,0.0%,0.01%,0.06%
9-Mar-20,58,0,0,0,0.0%,0.01%,0.06%
10-Mar-20,60,0,2,0,0.0%,0.01%,0.06%
11-Mar-20,61,0,1,0,0.0%,0.01%,0.06%
12-Mar-20,64,0,3,0,0.0%,0.01%,0.06%
13-Mar-20,65,0,1,0,0.0%,0.01%,0.07%
14-Mar-20,68,0,3,0,0.0%,0.01%,0.07%
15-Mar-20,68,0,0,0,0.0%,0.01%,0.07%
16-Mar-20,79,0,11,0,0.0%,0.01%,0.08%
17-Mar-20,85,0,6,0,0.0%,0.01%,0.08%
18-Mar-20,92,0,7,0,0.0%,0.01%,0.09%
19-Mar-20,99,0,7,0,0.0%,0.01%,0.10%
20-Mar-20,106,0,7,0,0.0%,0.01%,0.11%
21-Mar-20,109,0,3,0,0.0%,0.01%,0.11%
22-Mar-20,115,0,6,0,0.0%,0.01%,0.11%
23-Mar-20,118,0,3,0,0.0%,0.01%,0.12%
24-Mar-20,131,2,13,2,1.5%,0.01%,0.13%
25-Mar-20,139,3,8,1,2.2%,0.01%,0.14%
26-Mar-20,181,6,42,3,3.3%,0.02%,0.18%
27-Mar-20,218,6,37,0,2.8%,0.02%,0.22%
28-Mar-20,276,8,58,2,2.9%,0.03%,0.28%
29-Mar-20,311,8,35,0,2.6%,0.03%,0.31%
30-Mar-20,364,9,53,1,2.5%,0.04%,0.36%
31-Mar-20,407,9,43,0,2.2%,0.04%,0.41%
1-Apr-20,437,10,30,1,2.3%,0.05%,0.44%
2-Apr-20,498,10,61,0,2.0%,0.05%,0.50%
3-Apr-20,520,10,22,0,1.9%,0.05%,0.52%
4-Apr-20,573,10,53,0,1.7%,0.06%,0.57%
5-Apr-20,604,11,31,1,1.8%,0.06%,0.60%
6-Apr-20,621,12,17,1,1.9%,0.07%,0.62%
7-Apr-20,765,14,144,2,1.8%,0.08%,0.77%
8-Apr-20,781,15,16,1,1.9%,0.08%,0.78%
9-Apr-20,903,16,122,1,1.8%,0.10%,0.90%
10-Apr-20,1035,16,132,0,1.5%,0.11%,1.04%
11-Apr-20,1094,18,59,2,1.6%,0.12%,1.09%
12-Apr-20,1145,19,51,1,1.7%,0.12%,1.15%
13-Apr-20,1186,19,41,0,1.6%,0.13%,1.19%
14-Apr-20,1235,19,49,0,1.5%,0.13%,1.23%
15-Apr-20,1265,19,30,0,1.5%,0.13%,1.27%
16-Apr-20,1288,19,23,0,1.5%,0.14%,1.29%
17-Apr-20,1291,19,3,0,1.5%,0.14%,1.29%
18-Apr-20,1318,19,27,0,1.4%,0.14%,1.32%
19-Apr-20,1333,19,15,0,1.4%,0.14%,1.33%
20-Apr-20,1349,19,16,0,1.4%,0.14%,1.35%
21-Apr-20,1378,19,29,0,1.4%,0.15%,1.38%
