Province_S,Province_L,feature_id,presentDate,mPresentDate,fPresentDate,202004008,20200409,m20200409,f20200409,20200410,m20200410,f20200410,20200411,m20200411,f20200411,20200412,m20200412,f20200412,20200413,m20200413,f20200413,20200414,m20200414,f20200414,20200415,m20200415,f20200415,20200416,m20200416,f20200416,20200417,m20200417,f20200417,20200418,m20200418,f20200418,20200419,m20200419,f20200419,20200420,m20200420,f20200420,20200421,m20200421,f20200421,20200422,m20200422,f20200422,20200423,m20200423,f20200423,20200424,m20200424,f20200424,20200425,m20200425,f20200425,20200426,m20200426,f20200426,20200427,m20200427,f20200427,20200428,m20200428,f20200428,20200429,m20200429,f20200429,20200430,m20200430,f20200430,20200501,m20200501,f20200501,20200502,m20200502,f20200502,20200503,m20200503,f20200503,20200504,m20200504,f20200504,20200505,m20200505,f20200505,20200506,m20200506,f20200506,20200507,m20200507,f20200507,20200508,m20200508,f20200508,20200509,m20200509,f20200509,20200510,m20200510,f20200510,20200511,m20200511,f20200511,20200512,m20200512,f20200512,20200513,m20200513,f20200513
VTE,Vientiane Capital,13,16,7,9,12,13,6,7,13,6,7,15,6,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9,16,7,9
PHO,Phongsaly,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LNT,Luang Namtha,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODX,Oudomxay,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK ,Bokeo,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPB,Luang Prabang,8,3,2,1,3,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1,3,2,1
HPH,Houaphan,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XYB,Xaignabouli,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XK,Xiangkhouang,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VTP,Vientiane,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
