title,level,value
total_population_estimated_2020_medium_forecast,National,7231206
total_population_18_or_older_estimated_2020_medium_forecast,National,4517996
total_population_12_or_older_estimated_2020_medium_forecast,National,5376466
total_population_estimated_2020_medium_forecast,Vientiane Capital,948447
total_population_estimated_2020_medium_forecast,Phongsaly,193148
total_population_estimated_2020_medium_forecast,Luangnamtha,199090
total_population_estimated_2020_medium_forecast,Oudomxay,345425
total_population_estimated_2020_medium_forecast,Bokeo,203469
total_population_estimated_2020_medium_forecast,Luangprabang,467157
total_population_estimated_2020_medium_forecast,Huaphanh,310978
total_population_estimated_2020_medium_forecast,Xayabury,423492
total_population_estimated_2020_medium_forecast,Xiengkhuang,267181
total_population_estimated_2020_medium_forecast,Vientiane,462141
total_population_estimated_2020_medium_forecast,Borikhamxay,314958
total_population_estimated_2020_medium_forecast,Khammuane,433569
total_population_estimated_2020_medium_forecast,Savannakhet,1070034
total_population_estimated_2020_medium_forecast,Saravane,442230
total_population_estimated_2020_medium_forecast,Sekong,129399
total_population_estimated_2020_medium_forecast,Champasak,752686
total_population_estimated_2020_medium_forecast,Attapeu,159886
total_population_estimated_2020_medium_forecast,Xaysomboun,107928
total_population_18_or_older_estimated_2020_medium_forecast,Vientiane Capital,671623
total_population_18_or_older_estimated_2020_medium_forecast,Phongsaly,111975
total_population_18_or_older_estimated_2020_medium_forecast,Luangnamtha,119186
total_population_18_or_older_estimated_2020_medium_forecast,Oudomxay,202990
total_population_18_or_older_estimated_2020_medium_forecast,Bokeo,122736
total_population_18_or_older_estimated_2020_medium_forecast,Luangprabang,283039
total_population_18_or_older_estimated_2020_medium_forecast,Huaphanh,178682
total_population_18_or_older_estimated_2020_medium_forecast,Xayabury,277634
total_population_18_or_older_estimated_2020_medium_forecast,Xiengkhuang,154573
total_population_18_or_older_estimated_2020_medium_forecast,Vientiane,296898
total_population_18_or_older_estimated_2020_medium_forecast,Borikhamxay,190632
total_population_18_or_older_estimated_2020_medium_forecast,Khammuane,268723
total_population_18_or_older_estimated_2020_medium_forecast,Savannakhet,679943
total_population_18_or_older_estimated_2020_medium_forecast,Saravane,252962
total_population_18_or_older_estimated_2020_medium_forecast,Sekong,69675
total_population_18_or_older_estimated_2020_medium_forecast,Champasak,484623
total_population_18_or_older_estimated_2020_medium_forecast,Attapeu,92866
total_population_18_or_older_estimated_2020_medium_forecast,Xaysomboun,59244
total_population_12_or_older_estimated_2020_medium_forecast,Vientiane Capital,750106
total_population_12_or_older_estimated_2020_medium_forecast,Phongsaly,138097
total_population_12_or_older_estimated_2020_medium_forecast,Luangnamtha,145180
total_population_12_or_older_estimated_2020_medium_forecast,Oudomxay,249732
total_population_12_or_older_estimated_2020_medium_forecast,Bokeo,148649
total_population_12_or_older_estimated_2020_medium_forecast,Luangprabang,343534
total_population_12_or_older_estimated_2020_medium_forecast,Huaphanh,222026
total_population_12_or_older_estimated_2020_medium_forecast,Xayabury,322053
total_population_12_or_older_estimated_2020_medium_forecast,Xiengkhuang,189899
total_population_12_or_older_estimated_2020_medium_forecast,Vientiane,351167
total_population_12_or_older_estimated_2020_medium_forecast,Borikhamxay,229147
total_population_12_or_older_estimated_2020_medium_forecast,Khammuane,321749
total_population_12_or_older_estimated_2020_medium_forecast,Savannakhet,805261
total_population_12_or_older_estimated_2020_medium_forecast,Saravane,312050
total_population_12_or_older_estimated_2020_medium_forecast,Sekong,88730
total_population_12_or_older_estimated_2020_medium_forecast,Champasak,572242
total_population_12_or_older_estimated_2020_medium_forecast,Attapeu,113588
total_population_12_or_older_estimated_2020_medium_forecast,Xaysomboun,73265
