"","total_vaccinated","people_vaccinated","people_fully_vaccinated","maTotal","maPeople_vaccinated","maPeople_fully_vaccinated","date"
"1",0,0,0,NA,NA,NA,2021-04-15
"2",0,0,0,NA,NA,NA,2021-04-16
"3",0,0,0,NA,NA,NA,2021-04-17
"4",0,0,0,2189.42857142857,419,1770.42857142857,2021-04-18
"5",1177,537,640,2995.57142857143,591.142857142857,2404.42857142857,2021-04-19
"6",0,0,0,4643.71428571429,1369.57142857143,3274.14285714286,2021-04-20
"7",14149,2396,11753,6239.42857142857,2391.71428571429,3847.71428571429,2021-04-21
"8",5643,1205,4438,6832.71428571429,2827.85714285714,4004.85714285714,2021-04-22
"9",11537,5449,6088,6765.85714285714,2852.42857142857,3913.42857142857,2021-04-23
"10",11170,7155,4015,9227.42857142857,4976.14285714286,4251.28571428571,2021-04-24
"11",4153,3053,1100,8510.42857142857,5810.71428571429,2699.71428571429,2021-04-25
"12",709,709,0,11451.5714285714,8819.57142857143,2632,2021-04-26
"13",17231,14866,2365,13229.8571428571,11042.7142857143,2187.14285714286,2021-04-27
"14",9130,8238,892,14810.4285714286,12877.4285714286,1933,2021-04-28
"15",26231,22267,3964,15811.7142857143,13690.1428571429,2121.57142857143,2021-04-29
"16",23985,21011,2974,15710.4285714286,13588.8571428571,2121.57142857143,2021-04-30
"17",22234,19998,2236,16624.4285714286,14588.7142857143,2035.71428571429,2021-05-01
"18",11162,8742,2420,19295.7142857143,17240.8571428571,2054.85714285714,2021-05-02
"19",0,0,0,21696.5714285714,19783,1913.57142857143,2021-05-03
"20",23629,21865,1764,23388.8571428571,21557.4285714286,1831.42857142857,2021-05-04
"21",27829,26803,1026,23980.7142857143,22289,1691.71428571429,2021-05-05
"22",43037,40062,2975,23161.1428571429,21797,1364.14285714286,2021-05-06
"23",35831,33432,2399,27730.4285714286,26286.5714285714,1443.85714285714,2021-05-07
"24",26377,25119,1258,26389.4285714286,25031.1428571429,1358.28571428571,2021-05-08
"25",5425,5298,127,22413.8571428571,21202.1428571429,1211.71428571429,2021-05-09
"26",31985,31427,558,20828,19746.8571428571,1081.14285714286,2021-05-10
"27",14242,13077,1165,19825.7142857143,18803.8571428571,1021.85714285714,2021-05-11
"28",0,0,0,18812,17858,954,2021-05-12
"29",31936,29875,2061,18037,17101.1428571429,935.857142857143,2021-05-13
"30",28815,26831,1984,19300.5714285714,18281.7142857143,1018.85714285714,2021-05-14
"31",19281,18498,783,18857,17693.5714285714,1163.42857142857,2021-05-15
"32",0,0,0,20898.7142857143,19333.5714285714,1565.14285714286,2021-05-16
"33",40830,39691,1139,19229.7142857143,17154.4285714286,2075.28571428571,2021-05-17
"34",11137,8960,2177,18114.2857142857,15649.8571428571,2464.42857142857,2021-05-18
"35",14292,11480,2812,20881.5714285714,15598.2857142857,5283.28571428571,2021-05-19
"36",20253,14621,5632,20881.5714285714,15598.2857142857,5283.28571428571,2021-05-20
"37",21007,16299,4708,15815.2857142857,10379.4285714286,5435.85714285714,2021-05-21
"38",38652,18137,20515,16581.2857142857,10347.7142857143,6233.57142857143,2021-05-22
"39",0,0,0,14539.5714285714,8707.71428571429,5831.85714285714,2021-05-23
"40",5366,3159,2207,20690.1428571429,10235,10455.1428571429,2021-05-24
"41",16499,8738,7761,20695.2857142857,8967.85714285714,11727.4285714286,2021-05-25
"42",0,0,0,18232,7618.42857142857,10613.5714285714,2021-05-26
"43",63307,25312,37995,20450.2857142857,7898,12552.2857142857,2021-05-27
"44",21043,7429,13614,18772.8571428571,4649.85714285714,14123,2021-05-28
"45",21409,8691,12718,21667.5714285714,6850.71428571429,14816.8571428571,2021-05-29
"46",15528,1957,13571,23318.7142857143,7156.42857142857,16162.2857142857,2021-05-30
"47",-6376,-19578,13202,17059.2857142857,3968.42857142857,13090.8571428571,2021-05-31
"48",36762,24144,12618,17521.7142857143,3857.71428571429,13664,2021-06-01
"49",11558,2140,9418,17958.7142857143,3390.14285714286,14568.5714285714,2021-06-02
"50",19491,2996,16495,17369.8571428571,3628.42857142857,13741.4285714286,2021-06-03
