province_s,province_l,feature_id,date,people_vaccinated,people_fully_vaccinated,source,flag
CENTRE,Central Hospitals,99,21 April 2021,5936,2598,https://www.facebook.com/CIEH.MoH.Lao/photos/4177170442307618,1
VTE,Vientiane Capital,13,21 April 2021,14648,849,https://www.facebook.com/CIEH.MoH.Lao/photos/4177170442307618,1
PHO,Phongsaly,10,21 April 2021,1548,182,https://www.facebook.com/CIEH.MoH.Lao/photos/4177170442307618,1
LNT,Luangnamtha,7,21 April 2021,4678,3117,https://www.facebook.com/CIEH.MoH.Lao/photos/4177170442307618,1
ODX,Oudomxay,9,21 April 2021,3924,675,https://www.facebook.com/CIEH.MoH.Lao/photos/4177170442307618,1
BK,Bokeo,2,21 April 2021,4921,3775,https://www.facebook.com/CIEH.MoH.Lao/photos/4177170442307618,1
LPB,Luangprabang,8,21 April 2021,7233,5793,https://www.facebook.com/CIEH.MoH.Lao/photos/4177170442307618,1
HPH,Huaphanh,5,21 April 2021,2633,1092,https://www.facebook.com/CIEH.MoH.Lao/photos/4177170442307618,1
XYB,Xayabury,0,21 April 2021,9948,6076,https://www.facebook.com/CIEH.MoH.Lao/photos/4177170442307618,1
XK,Xiengkhuang,17,21 April 2021,4124,1454,https://www.facebook.com/CIEH.MoH.Lao/photos/4177170442307618,1
VTP,Vientiane,14,21 April 2021,5438,648,https://www.facebook.com/CIEH.MoH.Lao/photos/4177170442307618,1
BKX,Borikhamxay,3,21 April 2021,5052,2076,https://www.facebook.com/CIEH.MoH.Lao/photos/4177170442307618,1
KHM,Khammuane,6,21 April 2021,5769,1180,https://www.facebook.com/CIEH.MoH.Lao/photos/4177170442307618,1
SVK,Savannakhet,12,21 April 2021,6164,2122,https://www.facebook.com/CIEH.MoH.Lao/photos/4177170442307618,1
SLV,Saravane,11,21 April 2021,7096,3019,https://www.facebook.com/CIEH.MoH.Lao/photos/4177170442307618,1
SK,Sekong,16,21 April 2021,1316,566,https://www.facebook.com/CIEH.MoH.Lao/photos/4177170442307618,1
CPS,Champasak,4,21 April 2021,17446,11497,https://www.facebook.com/CIEH.MoH.Lao/photos/4177170442307618,1
ATP,Attapeu,1,21 April 2021,1104,266,https://www.facebook.com/CIEH.MoH.Lao/photos/4177170442307618,1
XSB,Xaysomboun,15,21 April 2021,738,127,https://www.facebook.com/CIEH.MoH.Lao/photos/4177170442307618,1
CENTRE,Central Hospitals,99,22 April 2021,9445,2608,https://www.facebook.com/CIEH.MoH.Lao/photos/4180741318617197,1
VTE,Vientiane Capital,13,22 April 2021,15929,1272,https://www.facebook.com/CIEH.MoH.Lao/photos/4180741318617197,1
PHO,Phongsaly,10,22 April 2021,1548,182,https://www.facebook.com/CIEH.MoH.Lao/photos/4180741318617197,1
LNT,Luangnamtha,7,22 April 2021,4678,3202,https://www.facebook.com/CIEH.MoH.Lao/photos/4180741318617197,1
ODX,Oudomxay,9,22 April 2021,3996,945,https://www.facebook.com/CIEH.MoH.Lao/photos/4180741318617197,1
BK,Bokeo,2,22 April 2021,4921,3775,https://www.facebook.com/CIEH.MoH.Lao/photos/4180741318617197,1
LPB,Luangprabang,8,22 April 2021,7233,6022,https://www.facebook.com/CIEH.MoH.Lao/photos/4180741318617197,1
HPH,Huaphanh,5,22 April 2021,3020,1235,https://www.facebook.com/CIEH.MoH.Lao/photos/4180741318617197,1
XYB,Xayabury,0,22 April 2021,9948,7989,https://www.facebook.com/CIEH.MoH.Lao/photos/4180741318617197,1
XK,Xiengkhuang,17,22 April 2021,4651,1782,https://www.facebook.com/CIEH.MoH.Lao/photos/4180741318617197,1
VTP,Vientiane,14,22 April 2021,5438,1272,https://www.facebook.com/CIEH.MoH.Lao/photos/4180741318617197,1
